JD1,JD2,JD3,JD4,JD5,JD6,JD7,JD8,JD9,JD10,MI1,MI2,MI3,MI4,MI5,MI6,MI7,MI8,MI9,MI10,SR1,SR2,SR3,SR4,SR5,SR6,SR7,SR8,SR9,SR10,LD1,LD2,LD3,LD4,LD5,LD6,LD7,LD8,LD9,LD10,BS1,BS2,BS3,BS4,BS5,BS6,BS7,BS8,BS9,BS10,LNS1,LNS2,LNS3,LNS4,LNS5,LNS6,LNS7,LNS8,LNS9,LNS10,LNS11,Nback1,Nback2,Nback3,Nback4,Nback5,Nback6,Nback7,Nback8,Nback9,Nback10,Rspan1,Rspan2,Rspan3,Rspan4,Rspan5,Rspan6,Rspan7,Rspan8,Rspan9,Rspan10
848,966,1192,1114,1138,2214,1856,1612,2274,.,1.238095,3.857143,4,3.46875,6,6,6,4.625,8,8,1.93,3.38,3.45,5.44,7.23,8.06,4.9,9.83,10.43,9.07,2.597403,3.547619,2.72973,4.5,4.953489,5.8846155,6.48718,7.644444,7.95122,5.866666,2,2.34,2.46,2.44,2.46,2.43,2.63,2.5,2.39,2.44,1.76,2.57,2.51,2.6,2.51,2.63,2.72,2.71,2.73,2.53,,2.38,3.33,4.04,4.37,4.59,4.63,4.78,5.48,6.52,7.33,3.16,3.81,4.33,4.25,4.21,4,4.41,4.4,4.52,3.63
906,690,978,1624,936,1072,2456,1088,1718,.,1.318182,4,4,3.75,6,6,6,4.82353,8,8,1.95,3.17,3.61,5.27,5.29,5.8,5.14,7.32,7.78,8.1,2.8,3.787234,3.540541,4.7823525,4.827273,3.447369,6.35955,6.727272,4.777778,4.82353,2.25,2.31,2.31,2.19,2.38,2.41,2.47,2.31,2.43,,1.79,2.13,2.18,2.17,2.2,2.14,2.2,2.22,2.14,2.17,,2.42,3,4.04,4.85,5.11,5.74,5.67,5.96,6.11,6.19,3.13,4.36,3.89,4.26,4.52,4.59,4.6,4.33,4.52,4.52
674,450,1198,814,816,2464,1234,820,2004,.,1.15,3.857143,4,3.46875,6,6,6,4.625,8,8,1.93,3.28,3.33,4.82,5.06,4.89,4.84,7.53,6.86,6.36,2.54321,4.073171,3.111111,5.14557,6.2777775,5.6388885,7.461538,6.677966,6.440678,8.210526,1.55,2.08,2.32,2.1,2.14,2.17,2.19,2.14,2.19,,1.42,1.54,1.6,1.61,1.54,1.6,1.64,1.63,1.61,1.6,,2.08,2.21,2.89,3.33,3.59,3.59,3.63,3.67,3.74,3.67,2.74,3.2,3.24,3.89,3.85,3.6,3.73,3.7,3.8,3.83
736,728,1432,770,1322,2030,1032,858,1670,.,1.1,3.75,4,3.6176475,6,6,6,4.625,8,8,2,3.26,3.48,4.91,5.25,5.42,4.95,7.47,7.41,7.75,2.876923,2.948276,2.74359,4.7823525,5.7980775,3.6,6.868422,4.816326,7.918368,6.97561,1.92,2.28,2.31,2.38,2.34,2.36,2.41,2.41,2.33,2.31,1.55,2.04,2.23,2.23,2.28,2.28,2.32,2.26,2.26,2.23,,2.67,3.59,4.26,4.52,5.11,6.26,7.63,7.3,8.33,8.33,3,3.57,3.76,3.72,3.6,4,4.06,3.96,4.45,3.63
944,1084,1192,1070,1800,1422,1406,1206,2716,.,1.318182,4,4,3.6176475,6,6,6,4.82353,8,8,1.98,3.91,3.68,6.44,6.28,6.7,4.87,9.75,9.93,9.71,2.602941,3.627451,2.84,5.3961045,4.071429,5.4473685,6.18919,4.765958,5.897436,8.428572,1.82,2.31,2.31,2.38,2.39,2.43,2.38,2.38,2.38,2.34,1.87,2.2,2.16,2.27,2.22,2.27,2.42,2.24,2.31,2.25,,2.29,2.96,3.41,4.59,5.7,7.79,6.33,6.44,6.96,7.41,3.03,4.33,4.55,4.53,4.74,4.66,4.56,4.55,4.6,4.5
872,654,754,902,1922,1022,1160,934,2288,.,1.238095,4,4,3.8684205,6,6,.,5.157894,8,8,2.03,4.11,3.63,5.83,5.84,6.53,5.49,8.86,9.49,9.03,2.536232,3.204545,.,4.7556825,5.478261,5.6428575,6.470588,7.72549,8.90909,6.976744,1.98,1.95,2.28,2.44,2.44,2.44,2.44,2.41,2.41,2.5,1.8,2.23,2.21,2.31,2.27,2.34,2.37,2.34,2.32,2.32,,2.26,2.78,2.89,3.07,3.93,5.19,6.37,7.74,8.44,8.33,3.13,4.5,4.13,4.36,4.56,4.22,4.63,4.48,4.66,4.43
862,830,950,1638,886,1514,1224,2940,1710,.,1.318182,4,4,3.6176475,6,6,6,6.137932,8,.,1.93,3.71,3.53,5.19,4.9,6.1,5,7.62,7.92,8.19,2.740741,3.891304,3.878049,5.1325305,6.0818175,5.6320755,7.238096,4.980392,8.695652,8.977778,1.88,2.28,2.31,2.33,2.25,2.36,2.33,2.42,2.36,2.39,1.39,1.51,1.61,1.76,1.7,1.81,2.25,2.58,2.53,2.51,,2.04,2.85,3.07,3.67,4,4.11,4.67,5.07,5.41,5.67,2.78,3.81,3.89,3.89,3.86,3.96,3.96,3.83,4.33,4.48
904,840,736,950,1560,990,862,1840,852,.,1,3.5,4,3.6176475,6,6,6,4.82353,8,8,4.07,1.91,3.52,5.86,5.71,5.56,4.85,8.77,9.44,8.56,3.861111,3.08046,.,5.574627,5.28,4.694445,7.057142,6.867924,7.071428,8.578948,1.88,2.39,2.33,2.25,2.32,2.42,2.36,2.38,,,1.74,2.23,2.28,2.29,2.31,2.27,2.26,2.35,2.24,2.29,,2.5,3.46,3.67,4.3,5.15,5.63,6.89,8.07,8.38,8.19,3,3.95,4.48,4.46,4.54,4.4,4.71,4.54,4.29,4.66
1018,900,1208,1180,1140,1374,1432,3270,.,.,1.238095,3.928571,.,3.46875,6,6,6,4.625,8,8,1.86,3.22,3.44,5.13,5.33,5.41,4.81,6.09,8.27,6.3,2.8,3.244444,3.190476,4.841772,5.3936175,6.397059,6.455696,6.52381,5.787234,8.913044,1.83,2.21,2.28,2.28,2.18,2.32,2.22,2.28,2.22,2.22,1.46,1.2,1.47,1.54,1.53,1.6,1.58,1.63,1.69,1.6,1.63,2.71,3.81,4.04,4.15,4.42,5.44,6.22,6.3,6.56,6.81,2.92,3.96,4.18,4.33,4.51,4.59,4.44,4.42,3.92,4.4
354,480,1056,520,620,1544,460,574,602,.,1.052632,3.6,4,3.1071435,6,6,6,4.625,8,8,1.95,3.09,3.53,4.97,5.06,4.58,4.69,6.97,7.41,6.73,2.786885,3.960784,3.355556,5.260563,5.3749995,4.0666665,6.285714,5.10204,9.268292,10.342858,1.4,1.6,1.98,2.05,1.9,1.61,1.66,1.66,1.64,,1.47,1.95,2.16,2.16,1.73,1.82,2.18,2.22,2.24,2.28,,1.19,1.71,2.05,2.29,2.79,2.95,3.46,3.33,3.17,3.25,2.75,3.96,4.4,4.5,4.4,4.43,4.5,4,4.5,4.25
874,1240,1096,1126,1074,1106,1326,2866,1674,.,1.227273,4,4,3.6176475,6,6,6,4.588236,8,8,1.95,3,3.47,4.57,5.38,5.35,4.3,7.46,8.83,8.48,2.285714,3.692308,3.029412,5.0930235,5.85,4.0875,6.731708,7.121952,8.487804,7.18919,2,2.31,2.38,2.38,2.31,2.25,2.34,2.44,2.31,2.44,1.49,1.6,2.03,2.04,1.8,2.05,2.14,2.14,2.11,2.11,,1.96,3.71,3.42,4.04,5.3,6.52,6.93,7,7.33,8.11,2.85,3.83,4.5,4.26,4.33,4.13,4.45,4.36,4.48,4.22
1022,718,836,1726,1130,1244,1288,1130,2182,.,1.15,3.75,4,3.3,6,6,6,4.4,8,8,3.59,1.89,3.68,5.31,5.53,5.81,4.72,7.51,8.4,7.94,3.468085,2.722222,.,5.4485295,4.817307,6.4999995,6.75,6.095238,9.268292,8.75,1.96,2.21,2.29,2.28,2.31,2.38,2.28,2.34,2.31,2.38,1.47,1.65,2.08,2.1,2.22,2.16,2.23,2.15,2.09,2.18,,1.5,2.42,3.48,4.41,5.93,6.96,7.33,7.78,8.3,8.5,3.16,3.76,3.92,3.76,4.29,4.43,3.83,3.9,4.38,4.39
742,584,618,1488,926,2016,1202,650,676,2256,1.15,3.857143,4,3.46875,6,6,6,4.82353,8,8,1.98,3.42,3.57,5.18,5.18,5.44,5.13,6.77,6.57,6.86,2.606557,3.581395,2.794118,5.6200005,4.7142855,6.1315785,6.541176,5.787234,5.777778,6.586206,1.77,2.12,2.19,2.25,2.25,2.08,2.12,2.1,2.13,2.28,1.85,2.35,2.4,2.4,2.35,2.32,2.35,2.35,2.44,2.38,,2.33,2.81,2.96,3.56,3.96,4.44,5.19,5.67,6.15,6.15,3.11,4.4,4.56,4.4,3.92,4.6,4.43,4.45,3.96,4.59
1702,702,828,858,2272,970,834,2244,.,.,1.052632,3.666667,4,3.1071435,6,6,6,4.625,8,8,1.75,3.38,3.6,4.47,4.87,5.25,4.88,7.07,6.59,8.18,2.730769,3.6,3.027027,5.351352,4.372881,4.035714,7.555556,5.784616,9.571428,6.791666,,,,,,,,,,,1.67,2.29,2.24,2.2,2.33,2.33,2.36,2.38,2.38,2.43,,2.41,3.7,4.29,4.07,3.67,3.85,4.37,4.7,4.85,5.07,3.14,3.83,4,3.7,4.33,3.83,4.29,3.92,4.07,4.33
622,556,764,1222,936,844,726,1612,714,.,0.947368,3.333333,4,3,6,6,6,4.142858,8,8,1.81,2.76,2.77,4.4,4.66,4.78,4.32,5.45,6.76,5.46,2.711538,3.6,2.514286,6.4636365,6.5181825,6.5510205,6.891892,6.862068,6.09091,8.488888,1.64,1.98,2.13,2.16,2.31,2.25,2.25,2.25,2.13,2.19,1.47,1.93,2.15,2.16,2.2,2.22,2.24,2.27,2.31,2.32,,2.29,2.67,2.86,2.93,3.46,3.74,3.96,4.71,5.7,6.33,2.66,3.9,3.71,3.79,3.7,4.14,4.37,4.08,4,3.81
