"V1","exp","Q18_1","Q18_2","Q18_3","Q22","Q23","Q24","Q25","Q26_1","Q26_2","Q26_3","Q39_1","Q62","Q63"
"R_6idhE5JaUvrtAMZ","6",48,61,28,8,9,6,7,68,41,74,66,7,6
"R_6idhE5JaUvrtAMZ","7",59,69,82,4,2,3,5,76,63,75,45,5,5
"R_6idhE5JaUvrtAMZ","8",90,51,94,8,8,8,8,55,76,73,63,9,7
"R_6idhE5JaUvrtAMZ","9",78,54,85,2,4,2,4,62,67,84,86,3,3
"R_6tlqYbmnd17NdQ1","1",36,65,95,10,8,3,25,30,60,80,35,5,30
"R_6tlqYbmnd17NdQ1","11",30,50,70,4,4,2,5,30,50,70,80,2,5
"R_6tlqYbmnd17NdQ1","4",50,70,80,3,2,1,4,40,40,70,65,2,5
"R_6tlqYbmnd17NdQ1","5",30,60,80,6,7,0,20,30,60,90,30,0,20
"R_6tlqYbmnd17NdQ1","6",21,40,80,4,5,1,10,40,70,90,30,0,10
"R_6tlqYbmnd17NdQ1","7",40,70,80,10,10,5,13,30,70,80,10,5,13
"R_6tlqYbmnd17NdQ1","8",20,50,70,600,700,300,1000,20,60,80,20,300,900
"R_6tlqYbmnd17NdQ1","9",40,70,85,3,3,1,9,40,70,85,60,1,9
"R_6tV7AbO0x2f1mFD","1",50,80,93,8,5,2,10,50,60,90,60,1,18
"R_6tV7AbO0x2f1mFD","11",30,51,70,4,3,1,5,21,30,50,60,1,5
"R_6tV7AbO0x2f1mFD","4",40,70,90,2,2,1,5,40,60,80,40,1,6
"R_6tV7AbO0x2f1mFD","5",50,81,92,8,6,1,14,40,60,80,60,2,16
"R_6tV7AbO0x2f1mFD","6",20,40,70,6,7,1,10,30,40,70,60,2,10
"R_6tV7AbO0x2f1mFD","7",30,50,70,20,20,5,45,31,60,70,30,5,45
"R_6tV7AbO0x2f1mFD","8",30,60,71,7,7,4,15,50,70,80,10,4,14
"R_6tV7AbO0x2f1mFD","9",50,60,80,4,4,2,8,50,60,80,70,2,8
"R_6ysfBO4dd53aTuR","1",35,46,58,3,10,10,20,29,45,63,50,2,4
